,Year,Month,Day,Cause of Fire,Temperature,Wind Speed,Precipitation,Fire Occurred
1,26-Jan-21,01-Jan-00,26-Jan-00,ELECTRICAL IGNITION CAUSED BY OVERLOADING,26,3.6,2.1,1
2,30-Jan-21,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,23.3,7.9,0,1
3,31-Jan-21,,,ELECTRICAL IGNITION DUE TO PINCHED WIRE,23.3,7.9,0,1
4,12-Feb-21,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,26.1,10.2,2,1
5,18-Feb-21,,,OPEN FLAME FROM RUBBISH FIRE / BONFIRE TO STRUCTURAL FIRE,24.9,6.3,0.2,1
6,23-Feb-21,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,25.2,6.6,20.4,1
7,10-Mar-21,,,ELECTRICAL IGNITION CAUSED BY ARCING,25.9,9.3,0,1
8,26-Mar-21,,,OPEN FLAME FROM UNATTENDED LIGHTED CANDLE,27.8,8.9,1.4,1
9,28-Apr-21,,,"OPEN FLAME FROM COOKING (LPG / GAS STOVE, FIREWOOD)",27.6,7.8,0.4,1
10,11-May-21,,,SPONTANEOUS COMBUSTION OF SOLID MATERIALS,30,10.2,0.1,1
11,17-May-21,,,"OPEN FLAME FROM COOKING (LPG / GAS STOVE, FIREWOOD)",30.9,11.1,0.1,1
12,26-May-21,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,29.9,8.3,0.5,1
13,23-Jul-21,,,BATTERY SHORT CIRCUIT OR BATTERY EXPLOSION,26.7,29.1,22.5,1
14,25-Jul-21,,,BATTERY SHORT CIRCUIT OR BATTERY EXPLOSION,26.9,30.5,22.6,1
15,08-Sep-21,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,25.7,31.6,214,1
16,04-Nov-21,,,IGNITION OF MATERIAL CAUSED BY WELDING SLAGS,27.5,6.6,3.1,1
17,12-Nov-21,,,OTHER CAUSES OF FIRE INCIDENT,27.5,4.9,4.7,1
18,05-Dec-21,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,24.9,8,1.5,1
19,13-Dec-21,,,"OPEN FLAME FROM COOKING (LPG / GAS STOVE, FIREWOOD)",26.7,8.8,0,1
20,23-Dec-21,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,26.1,4.4,1.1,1
21,25-Dec-21,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,26.2,6.2,0.7,1
22,27-Dec-21,,,ELECTRICAL IGNITION CAUSED BY ARCING,23,9.4,30.4,1
23,13-Jan-22,,,CHILDREN PLAYING MATCHSTICK OR LIGHTER,24.8,5.4,1.7,1
24,14-Jan-22,,,MAGNIFIED / AMPLIFIED SUN RAYS,24.9,9,0.2,1
25,21-Jan-22,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,25,7.5,8.2,1
26,03-Feb-22,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,26.6,7.4,0.2,1
27,28-Feb-22,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,27.4,11.3,0,1
28,14-Mar-22,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,27.9,4.5,3.7,1
29,15-May-22,,,"OPEN FLAME FROM COOKING (LPG / GAS STOVE, FIREWOOD)",28.2,5.8,0.6,1
30,10-Jul-22,,,OPEN FLAME FROM RUBBISH FIRE / BONFIRE TO STRUCTURAL FIRE,27.7,8.8,3.5,1
31,19-Aug-22,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,26.9,6.3,5.3,1
32,15-Sep-22,,,ELECTRICAL IGNITION CAUSED BY ARCING,27,15.3,3.9,1
33,29-Oct-22,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,25.3,29.6,130,1
34,02-Nov-22,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,26.6,7.4,0.4,1
35,20-Nov-22,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,26.4,10,4.6,1
36,28-Jan-23,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,25.2,18.3,0.5,1
37,18-Feb-23,,,"OPEN FLAME FROM COOKING (LPG / GAS STOVE, FIREWOOD)",26.2,20.9,1.5,1
38,23-Feb-23,,,"SMOKING(LIGHTED CIGARETTE, CIGAR OR PIPE)",26.1,12.8,0,1
39,04-Mar-23,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,25.2,16.9,0,1
40,10-Mar-23,,,"OPEN FLAME FROM COOKING (LPG / GAS STOVE, FIREWOOD)",25.6,16.5,3.3,1
41,20-Mar-23,,,"SMOKING(LIGHTED CIGARETTE, CIGAR OR PIPE)",26.8,21,0,1
42,30-Mar-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,28.2,14.9,0.4,1
43,11-Apr-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,28.2,16.3,0,1
44,19-Apr-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,28.5,14.9,0.2,1
45,20-Apr-23,,,"SMOKING(LIGHTED CIGARETTE, CIGAR OR PIPE)",29,14.8,0,1
46,04-May-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,29.6,22.5,1.5,1
47,17-May-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,29,13.8,1,1
48,19-Jun-23,,,ELECTRICAL IGNITION CAUSED BY ARCING,28.2,10.1,3.6,1
49,14-Jul-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,26.1,42.1,66.6,1
50,16-Jul-23,,,ELECTRICAL IGNITION CAUSED BY OVERLOADING,26.8,37.9,22.4,1
51,17-Jul-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,27.5,24.3,10.9,1
52,10-Aug-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,28,19.3,2.8,1
53,06-Sep-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,27.2,12.9,7.1,1
54,09-Oct-23,,,ELECTRICAL IGNITION CAUSED BY LOOSED CONNECTION,27.1,9.9,3.7,1
55,13-Oct-23,,,OVERHEATED HOME APPLIANCES,27.3,11.1,3.8,1
56,12-Dec-23,,,"OPEN FLAME FROM COOKING (LPG / GAS STOVE, FIREWOOD)",27.9,16.2,0,1
